codice_parametro_arpa;categoria_parametro_arpa;codice_punto;data_misura;ora_misura;anno_monitoraggio;valore;valore_validato;gwbregcod;data
P00010;A;00425010001;2001-08-29;06:00:00;2001;4,53;4,53;GWB-S6;2001-08-29 06:00:00
P00010;A;00425010001;2001-08-29;12:00:00;2001;4,62;4,62;GWB-S6;2001-08-29 12:00:00
P00010;A;00425010001;2001-08-29;18:00:00;2001;4,55;4,55;GWB-S6;2001-08-29 18:00:00
P00010;A;00425010001;2001-08-30;00:00:00;2001;4,54;4,54;GWB-S6;2001-08-30 00:00:00
P00010;A;00425010001;2001-08-30;06:00:00;2001;4,53;4,53;GWB-S6;2001-08-30 06:00:00
P00010;A;00425010001;2001-08-30;12:00:00;2001;4,53;4,53;GWB-S6;2001-08-30 12:00:00
P00010;A;00425010001;2001-08-30;18:00:00;2001;4,53;4,53;GWB-S6;2001-08-30 18:00:00
P00010;A;00425010001;2001-08-31;00:00:00;2001;4,53;4,53;GWB-S6;2001-08-31 00:00:00
P00010;A;00425010001;2001-08-31;06:00:00;2001;4,52;4,52;GWB-S6;2001-08-31 06:00:00
P00010;A;00425010001;2001-08-31;12:00:00;2001;4,53;4,53;GWB-S6;2001-08-31 12:00:00
P00010;A;00425010001;2001-08-31;18:00:00;2001;4,56;4,56;GWB-S6;2001-08-31 18:00:00
P00010;A;00425010001;2001-09-01;00:00:00;2001;4,54;4,54;GWB-S6;2001-09-01 00:00:00
P00010;A;00425010001;2001-09-01;06:00:00;2001;4,53;4,53;GWB-S6;2001-09-01 06:00:00
P00010;A;00425010001;2001-09-01;12:00:00;2001;4,53;4,53;GWB-S6;2001-09-01 12:00:00
P00010;A;00425010001;2001-09-01;18:00:00;2001;4,53;4,53;GWB-S6;2001-09-01 18:00:00
P00010;A;00425010001;2001-09-02;00:00:00;2001;4,52;4,52;GWB-S6;2001-09-02 00:00:00
P00010;A;00425010001;2001-09-02;06:00:00;2001;4,51;4,51;GWB-S6;2001-09-02 06:00:00
P00010;A;00425010001;2001-09-02;12:00:00;2001;4,52;4,52;GWB-S6;2001-09-02 12:00:00
P00010;A;00425010001;2001-09-02;18:00:00;2001;4,51;4,51;GWB-S6;2001-09-02 18:00:00
P00010;A;00425010001;2001-09-03;00:00:00;2001;4,5;4,5;GWB-S6;2001-09-03 00:00:00
P00010;A;00425010001;2001-09-03;06:00:00;2001;4,5;4,5;GWB-S6;2001-09-03 06:00:00
P00010;A;00425010001;2001-09-03;12:00:00;2001;4,5;4,5;GWB-S6;2001-09-03 12:00:00
P00010;A;00425010001;2001-09-03;18:00:00;2001;4,5;4,5;GWB-S6;2001-09-03 18:00:00
P00010;A;00425010001;2001-09-04;00:00:00;2001;4,49;4,49;GWB-S6;2001-09-04 00:00:00
P00010;A;00425010001;2001-09-04;06:00:00;2001;4,49;4,49;GWB-S6;2001-09-04 06:00:00
P00010;A;00425010001;2001-09-04;12:00:00;2001;4,49;4,49;GWB-S6;2001-09-04 12:00:00
P00010;A;00425010001;2001-09-04;18:00:00;2001;4,53;4,53;GWB-S6;2001-09-04 18:00:00
P00010;A;00425010001;2001-09-05;00:00:00;2001;4,49;4,49;GWB-S6;2001-09-05 00:00:00
P00010;A;00425010001;2001-09-05;06:00:00;2001;4,49;4,49;GWB-S6;2001-09-05 06:00:00
P00010;A;00425010001;2001-09-05;12:00:00;2001;4,49;4,49;GWB-S6;2001-09-05 12:00:00
P00010;A;00425010001;2001-09-05;18:00:00;2001;4,49;4,49;GWB-S6;2001-09-05 18:00:00
P00010;A;00425010001;2001-09-06;00:00:00;2001;4,49;4,49;GWB-S6;2001-09-06 00:00:00
P00010;A;00425010001;2001-09-06;06:00:00;2001;4,49;4,49;GWB-S6;2001-09-06 06:00:00
P00010;A;00425010001;2001-09-06;12:00:00;2001;4,49;4,49;GWB-S6;2001-09-06 12:00:00
P00010;A;00425010001;2001-09-06;18:00:00;2001;4,5;4,5;GWB-S6;2001-09-06 18:00:00
P00010;A;00425010001;2001-09-07;00:00:00;2001;4,49;4,49;GWB-S6;2001-09-07 00:00:00
